Title,Description,Link
Web scraping,"Web scraping, web harvesting, or web data extraction is data scraping used for extracting data from websites.[1] Web scraping software may directly access the World Wide Web using the Hypertext Transfer Protocol or a web browser. While web scraping can be done manually by a software user, the term typically refers to automated processes implemented using a bot or web crawler. It is a form of copying in which specific data is gathered and copied from the web, typically into a central local database or spreadsheet, for later retrieval or analysis.
",https://en.wikipedia.org/wiki/Web_scraping
Wrapper (data mining),"Wrapper in data mining is a procedure that extracts regular subcontent of an unstructured or loosely-structured information source and translates it into a relational form, so it can be processed as structured data.[1] Wrapper induction is the problem of devising extraction procedures on an automatic basis, with minimal reliance on hand-crafted rules. 
",https://en.wikipedia.org/wiki/Wrapper_(data_mining)
Web scraping,"Web scraping, web harvesting, or web data extraction is data scraping used for extracting data from websites.[1] Web scraping software may directly access the World Wide Web using the Hypertext Transfer Protocol or a web browser. While web scraping can be done manually by a software user, the term typically refers to automated processes implemented using a bot or web crawler. It is a form of copying in which specific data is gathered and copied from the web, typically into a central local database or spreadsheet, for later retrieval or analysis.
",https://en.wikipedia.org/wiki/Web_scraping
Microformat,"Microformats (μF)[note 1] are a set of defined HTML classes created to serve as consistent and descriptive metadata about an element, designating it as representing a certain type of data (such as contact information, geographic coordinates, events, blog posts, products, recipes, etc.).[1] They allow software to process the information reliably by having set classes refer to a specific type of data rather than being arbitrary.
",https://en.wikipedia.org/wiki/Microformat
Common Logic,"Common Logic (CL) is a framework for a family of logic languages, based on first-order logic, intended to facilitate the exchange and transmission of knowledge in computer-based systems.[1]
",https://en.wikipedia.org/wiki/Common_Logic
ISLISP,"ISLISP (also capitalized as ISLisp) is a programming language in the Lisp family standardized by the International Organization for Standardization (ISO) and International Electrotechnical Commission (IEC) joint working group ISO/IEC JTC 1/SC 22/WG 16[1] (commonly termed simply SC22/WG16 or WG16). The primary output of this working group was an international standard, published by ISO.[2] The standard was updated in 2007 and republished as ISO/IEC 13816:2007(E).[3][4]  Although official publication was through ISO, versions of the ISLISP language specification are available that are believed to be in the public domain.[5]
",https://en.wikipedia.org/wiki/ISLISP
Help:Category,"Categories are intended to group together pages on similar subjects. They are implemented by a MediaWiki feature that adds any page with a text like [[Category:XYZ]] in its wiki markup to the automated listing that is the category with name XYZ. Categories help readers to find, and navigate around, a subject area, to see pages sorted by title, and to thus find article relationships.
",https://en.wikipedia.org/wiki/Help:Category
Help:Link,"This page explains how to make the wikilink, interwiki link, or external web link (as hyperlinks) connections on Wikipedia, which gives readers one-click access to other Wikipedia pages, other Wikimedia projects, and external websites.
",https://en.wikipedia.org/wiki/Help:Piped_link
Help:Pipe trick,"The pipe trick uses the pipe character (""|"") to save typing the label of a piped link for several kinds of wiki links. This can avoid potentially making an error while typing the label.
",https://en.wikipedia.org/wiki/Wikipedia:Pipe_trick
Template:Template link bare,"[[Template:{{{1}}}|{{{1}}}]]
",https://en.wikipedia.org/wiki/Template:Tlbare
Wikipedia:Shortcut,"A shortcut is a specialized type of redirect page that provides an abbreviated wikilink to an administrative page or one of its sections, usually from the Wikipedia namespace or Help namespace. These shortcuts' abbreviations in all-caps text are commonly used (linked or unlinked) on community pages and talk pages, but should not be used in articles themselves. If there are one or more shortcuts for a page or section, one or more will usually be chosen to be displayed in an information box on the right labelled Shortcut or Shortcuts, as can be seen at the top of this page.
",https://en.wikipedia.org/wiki/Wikipedia:Shortcut
Wikipedia:WTF? OMG! TMD TLA. ARG!,"WTF? OMG! TMD TLA. ARG!
",https://en.wikipedia.org/wiki/Wikipedia:WOTTA
Wikipedia:Deny recognition,"True vandals and trolls (as distinguished from users who dabble in minor vandalism) usually suffer from chronic alienation and real or perceived powerlessness. They seek recognition and infamy by interrupting and frustrating the Wikipedia project and community. Such users experience exceptional attention as empowerment, reward and encouragement. This is particularly true for those prolific vandals who have been immortalised on Wikipedia pages, meticulously catalogued by category pages, targeted by dedicated templates, and thereby have become a noted part of wiki culture.[a]
",https://en.wikipedia.org/wiki/Wikipedia:Deny_recognition
Wikipedia:Wikipedia clones,"A Wikipedia clone, also called a Wikipedia mirror site, is a web site that uses information derived wholly or in large part from Wikipedia. The information displayed on the site either may come from an older version of one or more Wikipedia articles that the site has never updated, or may be designed to update the information each time the respective Wikipedia article(s) are edited. Some Wikipedia clones are robotically created without human inspection to verify their accuracy. Most run advertisements to generate revenue.
",https://en.wikipedia.org/wiki/Wikipedia:Wikipedia_clones
